"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1253","row click opens the drawer @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","1293","missing name is 400 @regression","chromium","2026-09-01","passed","2026-09-01","Access @regression","access.spec.ts","",""
"","3395","search is case-insensitive","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","675","unknown path without token is 401 @regression","api","2026-09-01","passed","2026-09-01","API auth @api @regression","api/auth.spec.ts","",""
"","1399","clear filters returns the full first page @regression","chromium","2026-09-01","passed","2026-09-01","Accounts extras @regression","accounts-extra.spec.ts","",""
"","1552","overlay click on Confirm does not DELETE @regression","chromium","2026-09-01","passed","2026-09-01","Dialogs @regression","dialogs.spec.ts","",""
"","1865","create account lands on page 1 and persists after reload @smoke @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","938","only one dialog at a time @regression","chromium","2026-09-01","passed","2026-09-01","Dialogs @regression","dialogs.spec.ts","",""
"","9062","login and Docs / App / Tests fit on a phone viewport @smoke @regression","viewport","2026-09-01","passed","2026-09-01","Viewport smoke @viewport @regression","viewport.smoke.spec.ts","",""
"","2947","currency filter keeps only that currency","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","727","GET /me with Bearer is 200 @smoke @regression","api","2026-09-01","passed","2026-09-01","API auth @api @regression","api/auth.spec.ts","",""
"","754","POST invalid currency is 400 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","1279","different currencies are 409 @regression","chromium","2026-09-01","passed","2026-09-01","Transfers @regression","transfers.spec.ts","",""
"","741","DELETE with pending transfer is 409 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","727","GET q=Ada Chen finds Ada @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","773","POST missing holder is 400 @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","2473","edit persists via PUT @regression","chromium","2026-09-01","passed","2026-09-01","Accounts CRUD @regression","accounts.spec.ts","",""
"","829","sort=holder orders by client name","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","705","unknown path with token is 404 @regression","api","2026-09-01","passed","2026-09-01","API auth @api @regression","api/auth.spec.ts","",""
"","846","currency=EUR drops other currencies","api","2026-09-01","passed","2026-09-01","API spec gaps @api @planted","api/spec-gaps.spec.ts","",""
"","706","GET minBalance=50000 is inclusive @regression","api","2026-09-01","passed","2026-09-01","API accounts @api @regression","api/accounts.spec.ts","",""
"","2779","Open accounts KPI equals Active rows","chromium","2026-09-01","passed","2026-09-01","Spec gaps @planted","planted.spec.ts","",""
"","897","Escape on Confirm freeze does not PATCH and restores focus @regression","chromium","2026-09-01","passed","2026-09-01","Dialogs @regression","dialogs.spec.ts","",""
"","2854","API log shows a live POST after create @regression","chromium","2026-09-01","passed","2026-09-01","Audit and API log @regression","dialogs.spec.ts","",""
"","1260","Tests panel links the repo and embeds the report @regression","guest","2026-09-01","passed","2026-09-01","Challenge chrome / Docs @regression","docs.spec.ts","",""
"","983","Docs opens the Console spec @regression","guest","2026-09-01","passed","2026-09-01","Challenge chrome / Docs @regression","docs.spec.ts","",""
